date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2024-09-04;true;true;false;true;false;true;true;true;1725435000000000;03:30 - 03:45;true;true;false;1725435300000000;1725438600000000;false;5.0;60.0;04:30 - 04:45;03:30 - 03:45;;;1.8;2.0;1.0;1.1;1.9;0.6;0.1;0.7;1.0;0.6;1.9;Strong Downtrend;Strong Downtrend;true;false;1.1
2024-09-05;true;true;true;false;true;true;true;false;1725528000000000;05:15 - 05:30;false;true;true;1725529500000000;1725538800000000;true;25.0;180.0;08:15 - 08:30;05:45 - 06:00;false;false;-1.4;-1.9;0.1;0.0;-1.5;0.1;0.1;0.9;-0.9;-1.5;1.0;Strong Downtrend;Strong Uptrend;true;false;1.7
2024-09-06;false;false;true;false;false;false;false;true;;;false;true;false;;;false;;;;;false;false;;;;;;;1.0;0.2;0.6;-0.1;0.8;Expansion;Strong Downtrend;true;false;5.9
2024-09-09;false;true;false;true;false;true;true;true;1725867300000000;03:30 - 03:45;true;true;true;1725867600000000;1725872700000000;true;5.0;90.0;05:00 - 05:15;03:30 - 03:45;false;false;4.0;5.1;1.0;1.2;4.1;1.0;0.9;0.5;1.4;0.4;4.1;Weak Downtrend;Strong Downtrend;true;false;0.9
2024-09-10;true;true;false;true;false;true;true;true;1725954300000000;03:45 - 04:00;true;true;true;1725959400000000;1725970500000000;true;85.0;270.0;08:15 - 08:30;05:00 - 05:15;false;false;1.3;1.8;0.4;0.4;1.4;0.4;0.2;0.8;1.2;0.4;1.4;Weak Downtrend;Strong Uptrend;false;true;1.9
2024-09-11;true;true;true;true;true;true;false;false;1726039800000000;03:30 - 03:45;true;false;true;1726050300000000;1726057200000000;true;175.0;290.0;08:15 - 08:30;06:15 - 06:30;false;false;2.5;2.5;-0.6;-0.6;2.6;-0.6;0.0;1.0;1.9;-0.6;2.6;Strong Downtrend;Strong Uptrend;false;true;1.2
2024-09-12;true;true;false;true;false;true;true;true;1726127100000000;03:45 - 04:00;true;true;true;1726127700000000;1726130400000000;false;10.0;55.0;04:30 - 04:45;03:45 - 04:00;false;false;2.5;2.6;1.0;1.0;2.6;0.2;0.6;0.9;1.3;0.2;2.6;Strong Uptrend;Strong Uptrend;true;true;1.7
2024-09-13;true;true;true;true;true;true;false;false;1726213200000000;03:30 - 03:45;true;false;false;1726218000000000;1726224600000000;true;80.0;190.0;06:45 - 07:00;05:00 - 05:15;false;false;2.8;3.0;0.9;0.9;2.9;-0.5;0.1;1.0;-0.3;-0.5;2.9;Strong Downtrend;Strong Uptrend;true;false;3.2
2024-09-16;true;true;true;true;true;true;false;false;1726471800000000;03:30 - 03:45;true;false;false;1726472400000000;1726475100000000;true;10.0;55.0;04:15 - 04:30;03:30 - 03:45;false;false;2.5;3.0;0.8;0.8;2.6;-0.5;0.2;1.0;0.1;-0.5;2.6;Strong Downtrend;Strong Uptrend;false;true;1.0
2024-09-17;true;true;false;true;false;true;true;true;1726558200000000;03:30 - 03:45;true;true;true;1726558500000000;1726570800000000;false;5.0;210.0;07:00 - 07:15;03:30 - 03:45;false;false;5.6;5.6;1.2;1.2;5.7;1.2;0.2;0.9;5.1;0.9;5.7;Strong Uptrend;Contraction;false;true;0.7
2024-09-18;false;false;true;false;true;true;true;true;1726646400000000;04:00 - 04:15;false;true;true;1726646700000000;1726654500000000;false;5.0;135.0;06:15 - 06:30;04:00 - 04:15;false;true;-5.3;-7.3;-0.4;-0.5;-5.4;-0.4;0.5;0.1;-2.9;-5.4;0.6;Strong Uptrend;Strong Uptrend;false;false;0.9
2024-09-19;true;true;true;true;true;true;false;false;1726735200000000;04:30 - 04:45;false;false;false;1726735500000000;1726735800000000;true;5.0;10.0;04:45 - 05:00;04:45 - 05:00;;;-0.3;-0.6;0.0;0.0;-0.4;5.8;0.4;0.5;4.2;-0.4;5.8;Strong Uptrend;Strong Uptrend;true;true;0.3
2024-09-20;false;false;true;false;true;true;true;true;1726820700000000;04:15 - 04:30;false;true;false;1726821000000000;1726821300000000;false;5.0;10.0;04:30 - 04:45;04:30 - 04:45;false;false;-0.7;-1.0;-0.3;-0.5;-0.8;0.9;1.0;0.1;0.1;-0.8;0.9;Strong Uptrend;Contraction;false;false;3.6
