date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2024-09-03;false;false;true;false;true;true;true;true;1725374700000000;10:45 - 11:00;false;true;false;1725375000000000;1725375000000000;false;5.0;5.0;10:45 - 11:00;10:45 - 11:00;false;false;-0.1;-0.2;-0.1;-0.1;-0.2;0.3;0.9;0.1;0.2;-0.2;0.3;Expansion;Medium Downtrend;true;false;6.4
2024-09-04;false;true;false;true;false;true;true;true;1725460800000000;10:30 - 10:45;true;true;true;1725461100000000;1725467700000000;false;5.0;115.0;12:30 - 12:45;10:45 - 11:00;;;4.2;6.0;1.6;2.0;4.3;1.6;0.7;0.5;3.4;0.5;4.3;Weak Downtrend;Strong Downtrend;true;true;0.9
2024-09-05;true;false;true;false;true;true;true;true;1725548400000000;11:00 - 11:15;false;true;true;1725549000000000;1725550200000000;true;10.0;30.0;11:30 - 11:45;11:00 - 11:15;false;true;-0.9;-1.1;0.1;0.0;-1.0;0.3;0.2;0.6;-0.6;-1.0;0.8;Expansion;Strong Downtrend;false;true;2.0
2024-09-06;false;false;true;false;true;true;true;true;1725633900000000;10:45 - 11:00;false;true;true;1725634800000000;1725651300000000;true;15.0;290.0;15:30 - 15:45;11:00 - 11:15;false;false;-0.6;-0.7;0.1;0.1;-0.7;0.1;0.9;0.0;-0.6;-0.7;0.1;Expansion;Expansion;false;true;1.8
2024-09-09;false;true;true;true;true;true;false;false;1725892200000000;10:30 - 10:45;false;false;false;1725892500000000;1725892500000000;false;5.0;5.0;10:30 - 10:45;10:30 - 10:45;false;false;-0.3;-0.5;-0.1;-0.1;-0.4;2.8;0.4;0.0;2.6;-0.4;2.8;Strong Uptrend;Weak Downtrend;true;true;2.6
2024-09-10;true;true;false;true;false;true;true;true;1725981900000000;11:15 - 11:30;true;true;true;1725984000000000;1725998100000000;true;35.0;270.0;15:45 - 16:00;12:00 - 12:15;false;true;2.7;3.3;0.2;-0.0;2.8;0.2;0.8;1.0;2.6;0.2;2.8;Medium Downtrend;Weak Uptrend;true;true;1.1
2024-09-11;false;true;true;true;true;true;false;false;1726065900000000;10:45 - 11:00;false;false;false;1726066200000000;1726066200000000;true;5.0;5.0;10:45 - 11:00;10:45 - 11:00;false;false;-0.0;-0.1;0.0;0.0;-0.1;1.9;1.0;0.2;1.6;-0.1;1.9;Expansion;Strong Downtrend;false;false;4.2
2024-09-12;true;true;false;true;false;true;true;true;1726151400000000;10:30 - 10:45;true;true;true;1726151700000000;1726151700000000;true;5.0;5.0;10:30 - 10:45;10:30 - 10:45;true;false;1.2;1.2;0.9;0.8;1.3;0.1;0.5;1.0;1.2;0.1;1.4;Expansion;Strong Uptrend;true;true;3.3
2024-09-13;true;true;false;true;false;true;true;true;1726238700000000;10:45 - 11:00;true;true;true;1726239000000000;1726255800000000;true;5.0;285.0;15:30 - 15:45;10:45 - 11:00;false;false;3.3;3.6;0.9;0.9;3.4;0.9;0.1;0.7;3.0;0.3;3.4;Expansion;Medium Downtrend;true;false;1.9
2024-09-16;false;false;true;false;true;true;true;true;1726497000000000;10:30 - 10:45;false;true;false;1726501800000000;1726506600000000;true;80.0;160.0;13:00 - 13:15;11:45 - 12:00;false;false;-0.7;-0.9;0.0;0.0;-0.8;0.4;0.9;0.0;0.0;-0.8;0.4;Strong Downtrend;Medium Downtrend;true;false;1.9
