date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-10-27;false;true;true;true;false;true;true;false;1698370800000000;10:30 - 10:45;true;true;true;1698371100000000;1698372900000000;false;5.0;35.0;11:15 - 11:30;10:45 - 11:00;;;1.7;2.1;1.2;1.5;1.8;0.6;0.9;0.4;1.8;-0.0;1.8;Contraction;Expansion;false;true;0.3
2023-10-30;true;true;false;true;false;true;true;true;1698630000000000;10:30 - 10:45;true;true;true;1698630300000000;1698630300000000;true;5.0;5.0;10:45 - 11:00;10:45 - 11:00;;;1.4;2.0;1.0;1.3;1.5;0.5;0.1;0.5;1.2;0.1;1.5;Strong Downtrend;Expansion;false;true;0.2
2023-10-31;true;true;true;true;true;true;false;false;1698712500000000;09:30 - 09:45;true;false;false;1698713100000000;1698714300000000;true;10.0;30.0;10:00 - 10:15;09:45 - 10:00;;;1.8;2.1;0.5;0.5;1.9;-3.8;0.1;1.0;-3.7;-3.8;1.9;Contraction;Medium Uptrend;true;true;0.2
2023-11-01;false;false;true;false;true;true;true;true;1698798900000000;09:30 - 09:45;false;true;false;;;false;;;;;;;;;;;-0.5;0.9;1.0;0.1;0.7;-0.5;0.9;Medium Uptrend;Medium Uptrend;true;true;0.4
2023-11-02;true;true;false;true;false;true;true;true;1698886200000000;09:45 - 10:00;true;true;false;1698886800000000;1698888900000000;true;10.0;45.0;10:30 - 10:45;10:00 - 10:15;;;1.3;1.4;0.8;0.9;1.4;0.6;0.0;0.7;0.9;0.6;1.4;Strong Uptrend;Strong Uptrend;true;true;0.4
2023-11-03;false;true;true;true;true;true;false;false;1698974100000000;10:15 - 10:30;true;true;true;1698975000000000;1698981900000000;true;15.0;130.0;12:15 - 12:30;10:30 - 10:45;;;1.9;1.9;0.8;0.8;2.0;0.8;1.0;0.0;1.3;-0.0;2.0;Strong Uptrend;Medium Uptrend;false;true;0.2
2023-11-06;false;true;false;true;false;true;true;true;1699236000000000;11:00 - 11:15;true;true;false;1699236300000000;1699236300000000;true;5.0;5.0;11:00 - 11:15;11:00 - 11:15;;;1.0;1.1;0.8;0.8;1.1;0.6;1.0;0.3;0.6;0.1;1.2;Strong Downtrend;Medium Downtrend;false;true;0.3
2023-11-07;true;true;true;true;true;true;false;false;1699318500000000;09:45 - 10:00;false;false;true;1699321500000000;1699334700000000;true;50.0;270.0;14:15 - 14:30;10:45 - 11:00;;;-1.7;-2.8;1.7;2.0;-1.7;1.7;0.3;1.0;-1.6;-1.7;1.7;Contraction;Medium Uptrend;true;true;0.3
2023-11-08;true;false;true;false;true;true;true;true;1699405200000000;10:00 - 10:15;false;true;true;1699405500000000;1699415700000000;false;5.0;175.0;12:45 - 13:00;10:00 - 10:15;;;-5.0;-7.0;0.0;-0.4;-5.0;0.0;0.2;0.7;-3.7;-5.0;1.0;Medium Uptrend;Strong Uptrend;false;true;0.2
2023-11-09;false;true;false;true;false;true;true;true;1699493700000000;10:30 - 10:45;true;true;true;1699495200000000;1699495500000000;true;25.0;30.0;11:00 - 11:15;11:00 - 11:15;;;1.3;2.3;0.9;1.3;1.4;0.3;0.7;0.5;1.2;0.2;1.4;Strong Downtrend;Strong Uptrend;true;false;0.4
