date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2024-09-06;true;true;true;true;true;true;false;false;1725582900000000;09:30 - 09:45;false;false;false;1725584100000000;1725584700000000;true;20.0;30.0;10:00 - 10:15;09:45 - 10:00;false;false;-0.1;-0.1;0.5;0.5;-0.2;3.0;0.0;0.6;1.2;-0.2;3.0;Strong Downtrend;Expansion;false;true;0.1
2024-09-09;true;true;true;true;true;true;false;false;1725843600000000;10:00 - 10:15;true;false;false;1725843900000000;1725843900000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;;;1.2;1.5;0.9;1.1;1.3;-0.1;0.5;0.7;0.1;-0.1;1.5;Contraction;Strong Uptrend;false;false;0.6
2024-09-10;false;false;true;false;true;true;true;true;1725939600000000;12:30 - 12:45;false;true;false;1725942300000000;1725942900000000;true;45.0;55.0;13:30 - 13:45;13:15 - 13:30;false;false;-0.3;-0.4;0.1;0.1;-0.4;0.4;0.9;0.0;0.4;-0.4;0.6;Strong Uptrend;Medium Downtrend;true;true;1.1
2024-09-11;false;true;true;false;true;true;true;false;1726017900000000;10:15 - 10:30;false;true;true;1726018200000000;1726032300000000;false;5.0;240.0;14:15 - 14:30;10:30 - 10:45;false;false;-4.7;-6.0;-0.2;-0.5;-4.8;-0.2;1.0;0.2;-4.7;-4.8;1.1;Strong Uptrend;Expansion;false;false;0.2
2024-09-12;true;true;false;true;false;true;true;true;1726101300000000;09:30 - 09:45;true;true;true;1726103400000000;1726106400000000;true;35.0;85.0;11:00 - 11:15;10:00 - 10:15;false;false;2.7;3.3;0.7;0.8;2.8;0.7;0.2;0.7;1.8;0.7;2.8;Strong Uptrend;Expansion;true;true;0.4
2024-09-13;false;true;true;false;true;true;true;false;1726188900000000;09:45 - 10:00;false;true;true;1726192500000000;1726205100000000;true;60.0;270.0;14:15 - 14:30;10:45 - 11:00;false;false;-1.9;-1.9;1.1;1.1;-1.9;1.1;0.1;0.1;-1.8;-1.9;1.1;None;Expansion;true;true;0.2
2024-09-16;false;false;true;false;true;true;true;true;1726446600000000;09:30 - 09:45;false;true;true;1726447800000000;1726455300000000;false;20.0;145.0;11:45 - 12:00;09:45 - 10:00;;;-1.8;-2.0;-0.1;-0.2;-1.9;-0.1;0.9;0.0;-0.9;-1.9;0.0;Strong Uptrend;Strong Downtrend;false;true;0.6
2024-09-17;false;false;true;false;true;true;true;true;1726533300000000;09:30 - 09:45;false;true;false;1726533600000000;1726534800000000;false;5.0;25.0;10:00 - 10:15;09:30 - 09:45;false;false;-2.2;-2.4;-0.2;-0.3;-2.3;0.9;0.3;0.0;0.9;-2.3;0.9;Contraction;Strong Uptrend;true;true;0.2
2024-09-18;false;true;true;true;true;true;false;false;1726619400000000;09:30 - 09:45;false;false;false;1726619700000000;1726619700000000;false;5.0;5.0;09:30 - 09:45;09:30 - 09:45;false;false;-0.3;-0.3;-0.2;-0.2;-0.4;2.2;0.5;0.2;1.0;-0.4;2.2;Contraction;Strong Downtrend;false;false;0.5
2024-09-19;true;true;false;true;false;true;true;true;1726707000000000;09:45 - 10:00;true;true;false;1726707300000000;1726707300000000;true;5.0;5.0;09:45 - 10:00;09:45 - 10:00;false;false;1.1;1.3;0.8;1.0;1.2;0.4;0.1;0.9;0.7;0.4;1.2;Strong Uptrend;Strong Uptrend;true;true;1.6
2024-09-20;false;true;true;true;true;true;false;false;1726793700000000;09:45 - 10:00;false;false;false;1726794000000000;1726794300000000;false;5.0;10.0;10:00 - 10:15;10:00 - 10:15;;;-0.7;-0.7;-0.4;-0.4;-0.8;5.5;0.8;0.0;4.5;-0.8;5.5;Contraction;Strong Downtrend;true;false;0.3
2024-09-23;false;true;false;true;false;true;true;true;1727052600000000;09:45 - 10:00;true;true;true;1727053200000000;1727061900000000;true;10.0;155.0;12:15 - 12:30;10:00 - 10:15;;;2.0;2.4;1.0;1.0;2.1;1.0;0.9;0.6;1.2;0.7;2.1;Expansion;Expansion;false;true;1.3
2024-09-24;false;false;true;false;true;true;true;true;1727138100000000;09:30 - 09:45;false;true;true;1727140500000000;1727144100000000;true;40.0;100.0;11:15 - 11:30;10:15 - 10:30;false;;-2.4;-2.9;0.3;0.4;-2.5;0.3;0.1;0.0;-0.1;-2.5;0.3;Contraction;Expansion;true;true;0.2
2024-09-25;false;true;true;true;true;true;false;false;1727224500000000;09:30 - 09:45;true;false;false;1727225400000000;1727228400000000;true;15.0;65.0;10:30 - 10:45;09:45 - 10:00;false;false;2.7;2.8;-0.2;-0.2;2.8;-0.2;1.0;0.4;0.5;-0.2;2.8;Strong Uptrend;Expansion;true;false;0.5
2024-09-26;true;true;true;true;true;true;false;false;1727311500000000;09:45 - 10:00;false;false;false;1727313000000000;1727314500000000;true;25.0;50.0;10:30 - 10:45;10:00 - 10:15;false;false;-0.8;-0.8;0.3;0.3;-0.9;2.0;0.4;0.7;1.5;-0.9;2.0;Contraction;Strong Uptrend;true;true;0.3
2024-09-27;true;true;true;true;true;true;false;false;1727397000000000;09:30 - 09:45;true;false;false;1727406300000000;1727409000000000;true;155.0;200.0;12:45 - 13:00;12:00 - 12:15;false;false;1.6;1.6;-0.5;-0.6;1.7;-0.5;0.0;1.0;0.9;-0.5;1.7;Contraction;Weak Uptrend;true;true;0.2
2024-09-30;false;false;true;false;true;true;true;true;1727656200000000;09:30 - 09:45;false;true;true;1727658300000000;1727665500000000;true;35.0;155.0;12:00 - 12:15;10:00 - 10:15;;;-1.6;-1.9;0.6;0.6;-1.7;0.6;0.6;0.0;-1.2;-1.7;0.6;Medium Downtrend;Strong Downtrend;false;true;1.1
2024-10-01;false;true;false;true;false;true;true;true;1727744100000000;09:45 - 10:00;true;true;true;1727748900000000;1727758800000000;true;80.0;245.0;14:00 - 14:15;11:15 - 11:30;false;false;1.5;2.1;0.6;0.5;1.6;0.6;0.8;0.8;1.4;0.6;1.6;Strong Downtrend;Strong Downtrend;false;true;0.7
2024-10-02;true;true;false;true;false;true;true;true;1727829000000000;09:30 - 09:45;true;true;true;1727830800000000;1727840400000000;true;30.0;190.0;12:30 - 12:45;10:00 - 10:15;false;false;3.2;3.9;0.8;1.0;3.3;0.8;0.0;0.8;2.0;0.7;3.3;Strong Downtrend;Medium Downtrend;true;false;0.3
2024-10-03;false;true;false;true;false;true;true;true;1727915400000000;09:30 - 09:45;true;true;true;1727916900000000;1727927700000000;false;25.0;205.0;12:45 - 13:00;09:45 - 10:00;false;false;3.2;3.5;1.2;1.3;3.3;1.2;0.8;0.8;2.5;0.8;3.3;Medium Downtrend;Medium Downtrend;true;true;0.3
2024-10-04;false;true;true;true;true;true;false;false;1728002100000000;09:30 - 09:45;false;false;false;1728002700000000;1728003000000000;true;10.0;15.0;09:45 - 10:00;09:45 - 10:00;false;false;-0.9;-1.0;0.2;0.2;-1.0;3.1;1.0;0.1;2.4;-1.0;3.1;Contraction;Expansion;true;true;0.2
2024-10-07;true;true;false;true;false;true;true;true;1728261300000000;09:30 - 09:45;true;true;true;1728261600000000;1728263400000000;false;5.0;35.0;10:00 - 10:15;09:30 - 09:45;;;4.6;4.8;1.9;2.0;4.7;1.9;0.2;0.2;2.9;0.2;4.7;Strong Uptrend;Expansion;false;true;0.2
2024-10-08;false;true;false;true;false;true;true;true;1728351900000000;10:45 - 11:00;true;true;true;1728354600000000;1728356400000000;true;45.0;75.0;12:00 - 12:15;11:30 - 11:45;false;false;1.4;1.4;0.6;0.5;1.5;0.6;0.9;0.6;1.2;0.5;1.5;Strong Downtrend;Medium Uptrend;false;true;0.5
2024-10-09;true;true;true;true;true;true;false;false;1728434100000000;09:30 - 09:45;false;false;false;1728434400000000;1728434400000000;false;5.0;5.0;09:30 - 09:45;09:30 - 09:45;false;false;-0.1;-0.1;-0.2;-0.2;-0.2;2.2;0.0;0.8;2.1;-0.3;2.2;Strong Downtrend;Strong Downtrend;true;false;0.5
2024-10-10;false;true;true;true;false;true;true;false;1728524100000000;10:30 - 10:45;true;true;true;1728524400000000;1728531900000000;false;5.0;130.0;12:45 - 13:00;10:30 - 10:45;false;false;1.7;2.0;1.0;1.0;1.8;1.0;0.8;0.5;1.6;-0.0;1.8;Strong Downtrend;Expansion;false;true;0.6
