date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;995.7;993.9;995.7;993.9;994.0;995.0;true;1.8;994.0;986.3;994.0;986.3;988.0;false;true;false;true;true;true;true;;1254099600000000;1254099600000000;10:00 - 10:30;false;true;true;994.0;994.0;986.3;993.0;993.0;986.3;1254100800000000;1254111600000000;false;13:00 - 13:30;10:00 - 10:30;-4.2;-0.5;-4.3;-0.5;0.0;0.6;-3.3;-4.3;0.0
2009-09-29;993.9;991.0;993.9;991.3;991.3;993.0;true;2.9;993.6;989.4;993.2;989.4;992.2;false;true;false;true;true;true;true;;1254187200000000;1254187200000000;10:00 - 10:30;false;true;false;990.7;993.6;989.4;992.9;991.8;989.4;1254187500000000;1254187500000000;true;10:00 - 10:30;10:00 - 10:30;-0.5;0.2;-0.6;0.6;0.1;0.6;0.4;-0.6;0.8
2009-09-30;994.6;992.7;994.5;992.9;994.3;993.6;false;1.9;997.9;993.7;997.9;993.7;997.0;true;false;true;false;true;true;true;1254272700000000;;1254272700000000;10:00 - 10:30;true;true;true;993.7;994.4;994.1;997.9;994.1;997.9;1254273000000000;1254286800000000;true;14:00 - 14:30;10:00 - 10:30;2.7;0.8;2.8;0.8;0.9;0.5;2.3;0.6;2.8
2009-10-01;1010.3;1007.5;1010.2;1007.7;1010.0;1007.7;false;2.8;1008.5;1005.9;1008.2;1005.9;1005.9;false;true;false;true;true;true;true;;1254360600000000;1254360600000000;10:30 - 11:00;false;true;true;1006.8;1008.5;1005.9;1008.4;1008.4;1005.9;1254363900000000;1254365400000000;true;11:30 - 12:00;11:00 - 11:30;-0.5;0.3;-0.6;0.3;0.8;0.0;-0.6;-0.6;0.3
2009-10-02;1002.6;999.2;1001.9;999.9;1000.1;1000.4;true;3.4;1002.4;999.1;1002.3;999.1;1001.0;false;true;false;true;true;true;true;;1254447000000000;1254447000000000;10:30 - 11:00;false;true;false;999.4;1000.7;999.6;1002.4;;;;;false;;;;;0.1;0.9;0.2;0.3;0.5;-0.1;0.9
2009-10-05;1004.4;1002.0;1004.4;1002.4;1004.4;1003.7;false;2.4;1005.9;1003.2;1005.8;1003.2;1005.3;true;false;true;false;true;true;true;1254703200000000;;1254703200000000;09:30 - 10:00;true;true;true;1003.6;1004.3;1003.2;1005.9;1003.2;1005.9;1254707100000000;1254718200000000;true;13:30 - 14:00;10:30 - 11:00;1.6;0.6;1.7;0.6;1.0;0.8;1.4;0.6;1.7
2009-10-06;1017.8;1016.8;1017.8;1016.9;1017.6;1017.0;false;1.0;1021.4;1016.6;1021.3;1016.8;1018.3;true;true;true;false;true;true;false;1254791400000000;;1254791400000000;10:00 - 10:30;true;true;true;1016.6;1017.8;1018.1;1021.4;1018.1;1021.4;1254791700000000;1254796800000000;false;11:30 - 12:00;10:00 - 10:30;4.6;1.4;4.7;1.4;0.9;0.3;1.5;-0.1;4.7
2009-10-07;1043.2;1038.3;1043.2;1038.3;1043.2;1039.3;false;4.9;1041.4;1037.8;1041.1;1038.0;1040.4;false;true;false;true;true;true;true;;1254884700000000;1254884700000000;12:00 - 12:30;false;true;false;1038.2;1041.1;1037.8;1041.4;1038.7;1037.8;1254885000000000;1254885000000000;true;12:00 - 12:30;12:00 - 12:30;-0.1;0.0;-0.2;0.6;1.0;0.2;0.4;-0.2;0.6
2009-10-08;1047.6;1045.1;1047.2;1045.7;1047.2;1045.7;false;2.5;1053.2;1045.8;1053.2;1045.8;1053.2;true;false;true;false;true;true;true;1254962100000000;;1254962100000000;09:30 - 10:00;true;true;true;1045.8;1047.9;1047.1;1053.2;1047.1;1053.2;1254962400000000;1254977100000000;true;13:30 - 14:00;09:30 - 10:00;3.2;0.8;3.3;0.8;0.9;0.3;3.3;0.3;3.3
2009-10-09;1052.9;1049.3;1052.7;1050.4;1052.1;1050.8;false;3.6;1051.8;1047.0;1051.5;1047.0;1047.5;false;true;false;true;true;true;true;;1255052400000000;1255052400000000;10:30 - 11:00;false;true;true;1049.3;1051.8;1047.0;1049.0;1048.8;1047.0;1255053000000000;1255053600000000;false;11:00 - 11:30;10:30 - 11:00;-0.6;-0.2;-0.7;-0.1;0.7;0.4;-0.5;-0.7;0.6
